site_id,total_forecast_m3,total_actual_m3,ratio,flag
38110139,22.928571428571487,3.2,7.16517857142859,EXTREME_HIGH
38110195,22.928571428571487,3.0,7.642857142857163,EXTREME_HIGH
38111600,22.928571428571487,4.5,5.095238095238108,EXTREME_HIGH
38117181,55.02857142857158,10.5,5.240816326530627,EXTREME_HIGH
38117595,68.78571428571412,10.5,6.551020408163249,EXTREME_HIGH
38117847,22.928571428571487,3.75,6.11428571428573,EXTREME_HIGH
38117928,22.928571428571487,3.0,7.642857142857163,EXTREME_HIGH
38118046,22.928571428571487,3.0,7.642857142857163,EXTREME_HIGH
38100159,22.928571428571487,4.5,5.095238095238108,EXTREME_HIGH
38100209,45.857142857142975,9.0,5.095238095238108,EXTREME_HIGH
38100273,80.39682539682545,14.25,5.641882483987751,EXTREME_HIGH
38106322,91.71428571428595,12.75,7.193277310924389,EXTREME_HIGH
38108887,250.78125,26.25,9.553571428571429,EXTREME_HIGH
38113018,22.928571428571487,4.5,5.095238095238108,EXTREME_HIGH
38113234,68.78571428571412,9.75,7.054945054945038,EXTREME_HIGH
38118170,68.78571428571412,3.75,18.3428571428571,EXTREME_HIGH
38101156,18.760000000000023,1.5,12.506666666666682,EXTREME_HIGH
38105256,45.857142857142975,4.5,10.190476190476216,EXTREME_HIGH
38113775,22.928571428571487,3.0,7.642857142857163,EXTREME_HIGH
38113782,22.928571428571487,4.5,5.095238095238108,EXTREME_HIGH
38118096,22.928571428571487,2.25,10.190476190476216,EXTREME_HIGH
38118119,22.928571428571487,4.5,5.095238095238108,EXTREME_HIGH
38118386,22.928571428571487,1.5,15.285714285714326,EXTREME_HIGH
38118501,229.28571428571527,30.75,7.456445993031391,EXTREME_HIGH
38118748,34.936554621848735,4.4,7.940126050420166,EXTREME_HIGH
38122730,91.71428571428595,9.75,9.40659340659343,EXTREME_HIGH
38122808,45.857142857142975,6.75,6.793650793650811,EXTREME_HIGH
38122824,22.928571428571487,4.5,5.095238095238108,EXTREME_HIGH
38122877,68.78571428571412,10.5,6.551020408163249,EXTREME_HIGH
38122883,23.25,2.25,10.333333333333334,EXTREME_HIGH
38122931,23.09999999999996,3.0,7.699999999999986,EXTREME_HIGH
38123115,22.928571428571487,4.5,5.095238095238108,EXTREME_HIGH
38123131,22.928571428571487,4.5,5.095238095238108,EXTREME_HIGH
38123242,15.076928571428583,2.25,6.700857142857148,EXTREME_HIGH
38126966,22.928571428571487,4.5,5.095238095238108,EXTREME_HIGH
38127060,22.928571428571487,4.5,5.095238095238108,EXTREME_HIGH
38127103,131.83928571428592,21.75,6.061576354679812,EXTREME_HIGH
38127122,25.301020408163296,4.5,5.6224489795918435,EXTREME_HIGH
38127245,9.171428571428548,1.5,6.114285714285699,EXTREME_HIGH
38127261,12.596221301020428,1.5,8.397480867346951,EXTREME_HIGH
38127271,60.98341836734686,11.25,5.420748299319721,EXTREME_HIGH
38127341,9.171428571428548,1.5,6.114285714285699,EXTREME_HIGH
38127411,285.5822222222221,24.0,11.899259259259253,EXTREME_HIGH
38127553,62.38584183673452,6.0,10.39764030612242,EXTREME_HIGH
38127598,92.33992346938757,5.25,17.588556851311917,EXTREME_HIGH
38127628,13.375,2.25,5.944444444444445,EXTREME_HIGH
38127642,9.826530612244934,1.25,7.861224489795947,EXTREME_HIGH
38127650,22.928571428571487,0.75,30.57142857142865,EXTREME_HIGH
38127656,7.6428571428571255,1.5,5.095238095238083,EXTREME_HIGH
38127713,5.459183673469408,0.75,7.278911564625877,EXTREME_HIGH
38127749,8.698690476190508,0.75,11.598253968254012,EXTREME_HIGH
38127752,9.171428571428548,1.5,6.114285714285699,EXTREME_HIGH
38127758,8.698690476190508,0.75,11.598253968254012,EXTREME_HIGH
38127761,14.395714285714249,1.5,9.597142857142833,EXTREME_HIGH
38127777,10.394866071428552,0.75,13.859821428571403,EXTREME_HIGH
38127778,10.394866071428552,0.75,13.859821428571403,EXTREME_HIGH
38127781,9.080316091954007,0.75,12.107088122605342,EXTREME_HIGH
38127784,10.646996753246754,1.5,7.097997835497836,EXTREME_HIGH
38127797,8.04891774891776,1.5,5.365945165945173,EXTREME_HIGH
38127809,10.734782608695614,1.5,7.156521739130409,EXTREME_HIGH
38127819,22.928571428571487,3.0,7.642857142857163,EXTREME_HIGH
38127832,26.542920918367365,3.0,8.847640306122456,EXTREME_HIGH
38127840,34.83857142857136,5.5,6.334285714285702,EXTREME_HIGH
38127858,10.734782608695614,0.75,14.313043478260818,EXTREME_HIGH
38127861,9.464285714285714,0.75,12.619047619047619,EXTREME_HIGH
38127868,10.080428571428572,0.75,13.44057142857143,EXTREME_HIGH
38127873,21.616666666666738,1.5,14.41111111111116,EXTREME_HIGH
38127875,10.394866071428552,0.75,13.859821428571403,EXTREME_HIGH
38127881,10.394866071428552,0.75,13.859821428571403,EXTREME_HIGH
38127889,11.462599900099937,0.75,15.283466533466582,EXTREME_HIGH
38127898,9.171428571428548,0.75,12.228571428571398,EXTREME_HIGH
38127900,9.464285714285715,0.75,12.61904761904762,EXTREME_HIGH
38127922,47.725446428571374,7.5,6.36339285714285,EXTREME_HIGH
38127925,9.171428571428548,0.75,12.228571428571398,EXTREME_HIGH
38127929,9.464285714285715,0.75,12.61904761904762,EXTREME_HIGH
38127931,8.929310344827613,0.75,11.905747126436816,EXTREME_HIGH
38127932,9.171428571428548,0.75,12.228571428571398,EXTREME_HIGH
38127950,10.734782608695614,0.75,14.313043478260818,EXTREME_HIGH
38127951,9.464285714285715,1.5,6.30952380952381,EXTREME_HIGH
38127967,10.734782608695614,0.75,14.313043478260818,EXTREME_HIGH
38127968,8.701428571428604,1.5,5.800952380952403,EXTREME_HIGH
