alignment_threshold,micro_wape_ratio,micro_wape_pct,worsened_volume_share,worsened_volume_share_pct
0.4,0.5373801423368927,53.74%,0.20395288089478197,20.40%
0.5,0.5403824113455352,54.04%,0.20556978998640008,20.56%
0.6,0.5431416753450887,54.31%,0.2049814124334373,20.50%
0.7,0.5435088057419954,54.35%,0.204593200683101,20.46%
0.8,0.5440153886721417,54.40%,0.20470976959824466,20.47%
