k_small,k_medium,k_large,bias_pct,wape_pct,abs_bias_pct,bias_small_pct,bias_medium_pct,bias_large_pct
3.0,1.5,1.0,-6.614038000705374,36.183485233473355,6.614038000705374,-44.35496431252276,-2.9800603502221783,-3.55550397976837
2.5,1.5,1.0,-7.362062405464388,36.60466111305766,7.362062405464388,-53.62913692710228,-2.9800603502221783,-3.55550397976837
2.0,1.5,1.0,-8.110086810223379,37.132347187218784,8.110086810223379,-62.90330954168183,-2.9800603502221783,-3.55550397976837
1.5,1.5,1.0,-8.858111214982292,37.847656399303006,8.858111214982292,-72.17748215626139,-2.9800603502221783,-3.55550397976837
3.0,1.4,1.0,-9.22415977142097,35.326061784040576,9.22415977142097,-44.35496431252276,-9.448056326874076,-3.55550397976837
1.0,1.5,1.0,-9.606135619741316,38.584064966651134,9.606135619741316,-81.45165477084093,-2.9800603502221783,-3.55550397976837
2.5,1.4,1.0,-9.97218417618005,35.74723766362484,9.97218417618005,-53.62913692710228,-9.448056326874076,-3.55550397976837
2.0,1.4,1.0,-10.720208580938962,36.27492373778598,10.720208580938962,-62.90330954168183,-9.448056326874076,-3.55550397976837
1.5,1.4,1.0,-11.468232985697943,36.99023294987017,11.468232985697943,-72.17748215626139,-9.448056326874076,-3.55550397976837
3.0,1.3,1.0,-11.834281542136566,34.657586722600456,11.834281542136566,-44.35496431252276,-15.916052303525863,-3.55550397976837
1.0,1.4,1.0,-12.216257390456857,37.72664151721834,12.216257390456857,-81.45165477084093,-9.448056326874076,-3.55550397976837
2.5,1.3,1.0,-12.58230594689559,35.07876260218472,12.58230594689559,-53.62913692710228,-15.916052303525863,-3.55550397976837
2.0,1.3,1.0,-13.330330351654593,35.60644867634588,13.330330351654593,-62.90330954168183,-15.916052303525863,-3.55550397976837
1.5,1.3,1.0,-14.07835475641355,36.32175788843006,14.07835475641355,-72.17748215626139,-15.916052303525863,-3.55550397976837
3.0,1.2,1.0,-14.444403312852195,34.2339573839952,14.444403312852195,-44.35496431252276,-22.384048280177776,-3.55550397976837
1.0,1.3,1.0,-14.82637916117255,37.05816645577823,14.82637916117255,-81.45165477084093,-15.916052303525863,-3.55550397976837
2.5,1.2,1.0,-15.192427717611196,34.655133263579465,15.192427717611196,-53.62913692710228,-22.384048280177776,-3.55550397976837
2.0,1.2,1.0,-15.940452122370166,35.182819337740625,15.940452122370166,-62.90330954168183,-22.384048280177776,-3.55550397976837
1.5,1.2,1.0,-16.688476527129133,35.89812854982482,16.688476527129133,-72.17748215626139,-22.384048280177776,-3.55550397976837
3.0,1.1,1.0,-17.05452508356779,34.130980054534746,17.05452508356779,-44.35496431252276,-28.852044256829608,-3.55550397976837
1.0,1.2,1.0,-17.43650093188819,36.63453711717297,17.43650093188819,-81.45165477084093,-22.384048280177776,-3.55550397976837
2.5,1.1,1.0,-17.802549488326747,34.552155934119,17.802549488326747,-53.62913692710228,-28.852044256829608,-3.55550397976837
2.0,1.1,1.0,-18.550573893085748,35.07984200828013,18.550573893085748,-62.90330954168183,-28.852044256829608,-3.55550397976837
1.5,1.1,1.0,-19.298598297844798,35.795151220364325,19.298598297844798,-72.17748215626139,-28.852044256829608,-3.55550397976837
3.0,1.0,1.0,-19.664646854283376,34.57236330554324,19.664646854283376,-44.35496431252276,-35.32004023348148,-3.55550397976837
1.0,1.1,1.0,-20.04662270260373,36.53155978771249,20.04662270260373,-81.45165477084093,-28.852044256829608,-3.55550397976837
2.5,1.0,1.0,-20.41267125904235,34.99353918512751,20.41267125904235,-53.62913692710228,-35.32004023348148,-3.55550397976837
2.0,1.0,1.0,-21.160695663801366,35.52122525928864,21.160695663801366,-62.90330954168183,-35.32004023348148,-3.55550397976837
1.5,1.0,1.0,-21.908720068560392,36.23653447137281,21.908720068560392,-72.17748215626139,-35.32004023348148,-3.55550397976837
1.0,1.0,1.0,-22.656744473319314,36.97294303872097,22.656744473319314,-81.45165477084093,-35.32004023348148,-3.55550397976837
