site_id,date,fill_pct,pred_mass_kg,overflow_prob
38105070,2024-07-01,1.0,2464.285714,1
38105070,2024-07-02,1.0,4995.535714,1
38105070,2024-07-03,1.0,8151.785714,1
38105070,2024-07-04,1.0,10495.535714,1
38105070,2024-07-05,1.0,12839.285714,1
38105070,2024-07-06,1.0,15651.785714,1
38105070,2024-07-07,1.0,17995.535714,1
38105070,2024-07-08,1.0,20459.821429,1
38105070,2024-07-09,1.0,22991.071429,1
38105070,2024-07-10,1.0,26147.321429,1
38105070,2024-07-11,1.0,28491.071429,1
38105070,2024-07-12,1.0,30834.821429,1
38105070,2024-07-13,1.0,33647.321429,1
38105070,2024-07-14,1.0,35991.071429,1
38105070,2024-07-15,1.0,38455.357143,1
38105070,2024-07-16,1.0,40986.607143,1
38105070,2024-07-17,1.0,44142.857143,1
38105070,2024-07-18,1.0,46486.607143,1
38105070,2024-07-19,1.0,48830.357143,1
38105070,2024-07-20,1.0,51642.857143,1
38105070,2024-07-21,1.0,53986.607143,1
38105070,2024-07-22,1.0,56450.892857,1
38105070,2024-07-23,1.0,58982.142857,1
38105070,2024-07-24,1.0,62138.392857,1
38105070,2024-07-25,1.0,64482.142857,1
38105070,2024-07-26,1.0,66825.892857,1
38105070,2024-07-27,1.0,69638.392857,1
38105070,2024-07-28,1.0,71982.142857,1
38105070,2024-07-29,1.0,74446.428571,1
38105070,2024-07-30,1.0,76977.678571,1
38105070,2024-07-31,1.0,80133.928571,1
38105070,2024-08-01,1.0,82477.678571,1
38105070,2024-08-02,1.0,84821.428571,1
38105070,2024-08-03,1.0,87633.928571,1
38105070,2024-08-04,1.0,89977.678571,1
38105070,2024-08-05,1.0,92441.964286,1
38105070,2024-08-06,1.0,94973.214286,1
38105070,2024-08-07,1.0,98129.464286,1
38105070,2024-08-08,1.0,100473.214286,1
38105070,2024-08-09,1.0,102816.964286,1
38105070,2024-08-10,1.0,105629.464286,1
38105070,2024-08-11,1.0,107973.214286,1
38105070,2024-08-12,1.0,110437.5,1
38105070,2024-08-13,1.0,112968.75,1
38105070,2024-08-14,1.0,116125.0,1
38105070,2024-08-15,1.0,118468.75,1
38105070,2024-08-16,1.0,120812.5,1
38105070,2024-08-17,1.0,123625.0,1
38105070,2024-08-18,1.0,125968.75,1
38105070,2024-08-19,1.0,128433.035714,1
38105070,2024-08-20,1.0,130964.285714,1
38105070,2024-08-21,1.0,134120.535714,1
38105070,2024-08-22,1.0,136464.285714,1
38105070,2024-08-23,1.0,138808.035714,1
38105070,2024-08-24,1.0,141620.535714,1
38105070,2024-08-25,1.0,143964.285714,1
38105070,2024-08-26,1.0,146428.571429,1
38105070,2024-08-27,1.0,148959.821429,1
38105070,2024-08-28,1.0,152116.071429,1
38105070,2024-08-29,1.0,154459.821429,1
38105070,2024-08-30,1.0,156803.571429,1
38105070,2024-08-31,1.0,159616.071429,1
