year_month,district,actual_m3
2024-06,Эхирит-Булагатский район,480.911603
2024-07,Аларский район,335.123350
2024-07,Ангарский ГО,5154.291188
2024-07,Балаганский район,73.999765
2024-07,Баяндаевский район,251.955898
2024-07,Бодайбинский район,330.129968
2024-07,Боханский район,222.707302
2024-07,Жигаловский район,100.497874
2024-07,Заларинский район,319.384121
2024-07,Зиминский район,1162.681543
2024-07,Иркутский район,6189.988918
2024-07,Казачинско-Ленский район,410.508578
2024-07,Качугский район,162.598702
2024-07,Куйтунский район,286.802335
2024-07,Левый берег,10975.183872
2024-07,МО Саянск,876.844551
2024-07,Нукутский район,159.998456
2024-07,Ольхонский район,628.246975
2024-07,Осинский район,362.493455
2024-07,Правый берег,8634.736043
2024-07,Слюдянский район,1104.807414
2024-07,Тулунский район,1554.867311
2024-07,Усольский район,3270.496218
2024-07,Усть-Удинский район,105.320196
2024-07,Черемховский район,1639.490542
2024-07,Шелеховский район,2019.258451
2024-07,Эхирит-Булагатский район,462.634926
2024-08,Аларский район,369.003301
2024-08,Ангарский ГО,5168.003759
2024-08,Балаганский район,75.666611
2024-08,Баяндаевский район,315.032461
2024-08,Бодайбинский район,307.591268
2024-08,Боханский район,210.572815
2024-08,Жигаловский район,120.877652
2024-08,Заларинский район,325.111989
2024-08,Зиминский район,1215.295279
2024-08,Иркутский район,6136.717514
2024-08,Казачинско-Ленский район,414.252889
2024-08,Качугский район,157.043424
2024-08,Куйтунский район,343.762392
2024-08,Левый берег,10767.437650
2024-08,МО Саянск,877.575932
2024-08,Нукутский район,154.735564
2024-08,Ольхонский район,551.300043
2024-08,Осинский район,366.428177
2024-08,Правый берег,8862.432008
2024-08,Слюдянский район,1111.545168
2024-08,Тулунский район,1604.177174
2024-08,Усольский район,3260.727562
2024-08,Усть-Удинский район,109.418401
2024-08,Черемховский район,1674.080027
2024-08,Шелеховский район,1969.013387
2024-08,Эхирит-Булагатский район,484.180546
2024-09,Аларский район,341.792935
2024-09,Ангарский ГО,4939.979628
2024-09,Балаганский район,78.792581
2024-09,Баяндаевский район,310.563255
2024-09,Бодайбинский район,311.901681
2024-09,Боханский район,219.958920
2024-09,Жигаловский район,140.540932
2024-09,Заларинский район,320.819726
2024-09,Зиминский район,1169.292172
2024-09,Иркутский район,5993.434340
2024-09,Казачинско-Ленский район,391.623649
2024-09,Качугский район,165.487498
2024-09,Куйтунский район,306.701510
2024-09,Левый берег,10590.533765
2024-09,МО Саянск,855.139747
2024-09,Нукутский район,149.911641
2024-09,Ольхонский район,304.381416
2024-09,Осинский район,327.606937
2024-09,Правый берег,8688.778772
2024-09,Слюдянский район,959.310447
2024-09,Тулунский район,1642.923729
2024-09,Усольский район,3288.965619
