site_id,WAPE,MAE,days,forecast_total,district
38101481,2669.429894000002,31.0398824883721,129.0,7.015000000000016,Иркутский район
38121623,2458.330687999995,25.607611333333317,144.0,7.676087000000005,Нукутский район
38117441,1677.52182777778,2.0402292500000025,148.0,0.9835710000000004,Иркутский район
38117525,1429.3957671999979,35.73489417999998,150.0,6.21809499999999,Куйтунский район
38115728,1415.7109786666654,8.562768016129022,124.0,16.392857000000035,Левый берег
38114328,1104.3690475555568,16.78939430405405,148.0,6.218094999999989,Левый берег
38120988,846.287698333335,18.265202122302167,139.0,6.5571429999999875,Черемховский район
38101182,756.8041666666672,7.7224914965986455,147.0,12.609890000000007,Левый берег
38122408,708.939153333334,14.0848838410596,151.0,6.21809499999999,Слюдянский район
38114331,637.0308199999997,16.822997007042268,142.0,6.384483000000005,Бодайбинский район
38108342,608.7738095999999,17.975604614173243,127.0,16.392857000000035,Тулунский район
38117445,607.7648816666647,2.463911682432427,148.0,0.7493879999999989,Иркутский район
38108581,606.7195773333333,3.2045048098591558,142.0,16.392857000000035,Тулунский район
38122550,595.2990746666657,3.1005160138888845,144.0,16.392857000000035,Усольский район
38100929,579.0074073333327,11.42777777631578,152.0,4.235968999999997,Левый берег
38119414,570.776852000001,9.44299938970588,136.0,16.392857000000035,Баяндаевский район
38102495,548.5793653333322,2.7613055302013367,149.0,10.385203999999996,Правый берег
38101701,520.212842727273,8.35378287591241,137.0,24.04285700000004,Левый берег
38128518,514.153570999999,3.6464792269503516,141.0,10.928571,Иркутский район
38114329,462.940784888888,16.936857983739834,123.0,16.392857000000035,Левый берег
38122036,444.1967590909083,3.832285764705885,153.0,1.3585709999999984,Боханский район
38113736,425.6529101333338,11.65108330656934,137.0,5.464285999999988,Ангарский ГО
38127674,390.9320631999997,3.301791074324322,148.0,5.464285999999988,Иркутский район
38117842,378.2178573333342,3.8075623221476556,149.0,6.5571429999999875,Эхирит-Булагатский район
38121009,362.32291666666663,1.4688766891891898,148.0,0.7493879999999989,Иркутский район
38102196,356.7896824242426,8.291591211267605,142.0,24.04285700000004,Правый берег
38107816,352.54982355555615,11.413483496402883,139.0,16.392857000000035,Шелеховский район
38115156,334.9322221333333,8.544189340136063,147.0,6.060138000000009,Черемховский район
38107201,331.5644445333332,8.458276646258497,147.0,6.5571429999999875,Ангарский ГО
38109672,325.0328703333338,6.77151813194445,144.0,16.392857000000035,Усольский район
38121654,324.1462963333326,7.423197625954206,131.0,6.6796880000000005,Куйтунский район
38103261,322.81243400000005,6.819980999999996,142.0,16.392857000000035,Правый берег
38114205,312.66547626666625,9.232248314960625,127.0,16.392857000000035,Тулунский район
38128517,308.06158720000104,5.203743027027036,148.0,3.1224490000000062,Иркутский район
38108615,307.5338626666667,3.3671590802919704,137.0,6.21809499999999,Тулунский район
38114330,306.33865373333344,15.736574678082187,146.0,14.639181000000024,Шелеховский район
38109707,305.6293122666663,9.317966837398371,123.0,16.392857000000035,Усольский район
38112235,301.8871251111114,8.937447782894731,152.0,6.626276000000005,
38102242,298.3222223333337,5.849455339869288,153.0,21.846036999999978,Правый берег
38113269,297.84391555555493,4.821214460431652,139.0,6.21809499999999,Слюдянский район
38117423,290.7568833333335,0.5367819384615392,130.0,0.46342899999999937,Иркутский район
38105431,288.73515585185254,12.822120407894749,152.0,8.831633000000005,Левый берег
38122640,287.64616400000006,8.988942625000002,144.0,8.196428999999988,Слюдянский район
38102748,287.4146592156866,24.268456324503322,151.0,13.114285999999995,Правый берег
38115915,284.7349206666672,15.474723949275365,138.0,6.218094999999989,Куйтунский район
38104706,281.1622221333334,7.172505666666675,147.0,6.220832999999989,Левый берег
38117291,279.56565660606094,15.689909299319725,147.0,21.076530999999967,Черемховский район
38102353,278.9663689999999,11.623598708333324,144.0,5.078570999999991,Правый берег
38116246,275.19047633333383,5.693596062068964,145.0,6.5571429999999875,Тулунский район
38121262,270.9453262222221,13.252760521739129,138.0,12.411429000000004,Зиминский район
38109764,265.5063933333332,9.051354318181815,132.0,12.465625000000008,Усольский район
38119739,260.79312200000015,2.8763947279411757,136.0,16.392857000000035,Осинский район
38115904,259.2440473333335,2.700458826388891,144.0,16.392857000000035,Слюдянский район
38124017,258.854166666667,2.6963975694444455,144.0,7.676087000000005,Нукутский район
38127481,253.63333320000018,4.284346844594591,148.0,3.1224490000000062,Иркутский район
38101298,253.06248666666704,7.244155152671753,131.0,7.044643000000018,Левый берег
38110237,247.3273368888895,4.061945313868618,137.0,16.392857000000035,Слюдянский район
38108565,245.93650799999963,6.731838722627733,137.0,6.21809499999999,Тулунский район
38101158,245.58518533333378,4.186111113636363,132.0,16.5,Левый берег
38101661,241.49259266666644,7.932238445255467,137.0,7.929789000000011,Левый берег
38101201,240.33333333333354,2.371710526315789,152.0,6.218094999999989,Левый берег
38113087,239.13402106666663,6.315159007042259,142.0,6.21809499999999,МО Саянск
38109414,239.11838666666682,1.2629492253521133,142.0,6.384483000000005,Усольский район
38122900,237.22222266666697,1.3277363208955244,134.0,16.5,Зиминский район
38113099,233.66028096551744,33.43494151973685,152.0,27.674361999999963,Тулунский район
38120930,232.51358044444447,3.8186536934306563,137.0,6.5571429999999875,Балаганский район
38100881,228.00194000000022,3.8571756766917327,133.0,65.57142900000004,Слюдянский район
38120977,226.7932097777781,3.495100835616438,146.0,16.392857000000035,Аларский район
38101279,219.38574746666706,5.793637697183098,142.0,6.384483000000005,Левый берег
38101154,218.37671966666684,4.7473199927536225,138.0,32.78571400000007,Левый берег
38121709,213.0410053333332,4.204756684210522,152.0,16.392857000000035,Черемховский район
