days_bin,n_sites,median_WAPE,p90_WAPE
1-30,44,0.0,2.778892096969699
31-60,42,2.05270875,42.67633920000001
61-90,92,0.9838206679157773,16.419580018803444
91-120,117,0.9829719226190496,10.505661422222234
121-153,22466,0.9377128194113755,11.651141307936513
