site_id,avg_forecast_m3,avg_actual_m3,forecast_days,actual_days,ratio
38128502,122.85714285714268,0.1,214,1,1228.5714285714266
38109974,59.31627517245212,0.17,214,10,348.91926572030656
38101761,646.7755947745143,2.244414893617021,214,188,288.1711383282585
38121660,1082.7656980140187,4.026881720430108,214,186,268.88440564834104
38100573,789.2528208908174,3.282451923076923,214,208,240.4461175324643
38105272,1084.1826500148347,5.110204081632654,214,196,212.16034285434063
38113103,634.0384795468025,3.0044117647058823,214,204,211.03581306501502
38111482,165.57032988428995,0.7913043478260869,214,115,209.23723007355323
38100267,567.8874309264211,2.777227722772277,214,202,204.4799662159306
38104082,152.68100026225434,0.75,214,28,203.57466701633913
38123078,970.1050632324582,4.873626373626373,214,182,199.05199719087645
38112775,406.74643274365815,2.1019553072625703,214,179,193.5086018900061
38111434,728.953618713841,3.7714646464646466,214,198,193.28130767370675
38120225,287.0727590491024,1.4864928909952597,214,211,193.12084221061897
38120864,400.46047507788165,2.123798076923077,214,208,188.55863908590692
38114792,480.000567423231,2.5858490566037737,214,212,185.6259034909248
38119624,521.8280939400682,2.824038461538457,214,208,184.78080275712355
38101110,1022.6953317386145,5.53904761904762,214,210,184.6337858193853
38114437,786.192553033675,4.266,214,200,184.2926753477907
38127441,449.7493231716366,2.450877192982457,214,57,183.50545039930765
38111763,324.29209084334684,1.8431372549019607,214,204,175.94570886181586
38105966,130.68499040387155,0.75,214,88,174.24665387182873
38104585,538.6538161993775,3.0921568627450977,214,204,174.20002933524574
38100556,763.3548898531376,4.450617283950617,214,162,171.51663267157878
38104293,861.5820631211986,5.025380710659898,214,197,171.4461277119961
38105070,504.3988744251599,2.944497607655503,214,209,171.30218517201558
38102202,197.7665220293724,1.1622641509433929,214,159,170.1562608369605
38114037,640.2892676346243,3.790243902439024,214,205,168.93088785726894
38112758,405.12743148271807,2.403186274509804,214,204,168.5792881641499
38113114,560.3017379654358,3.3310096153846156,214,208,168.20778162201145
38112822,363.8967952640559,2.164102564102564,214,195,168.1513627404998
38123316,1903.1144581664435,11.365654205607477,214,214,167.4443392116842
38112791,269.21175649322566,1.6161654135338348,214,133,166.5743829430054
38115266,525.5680286678535,3.159478672985782,214,211,166.34643973436897
38104820,151.9852034193743,0.9201149425287355,214,174,165.18067079932
38103475,177.07877169559407,1.0732394366197182,214,213,164.99465604182652
38107720,973.3353174603172,5.900335570469799,214,149,164.96270522844483
38124366,1008.8451379617272,6.126737967914435,214,187,164.66268726441746
38121967,2756.8885921970063,16.774532710280372,214,214,164.3496507361681
38118407,294.7452436582111,1.8037383177570094,214,214,163.40798482605484
38113113,678.707475708352,4.163592233009709,214,206,163.01007344749974
38112823,346.6366145601544,2.131862745098039,214,204,162.59799809213956
38113257,1493.6830635291508,9.29952380952381,214,210,160.61930633474404
38127714,700.0165873943041,4.380952380952381,214,21,159.78639494869984
38105270,2805.3210039311693,17.624401913875598,214,209,159.17255051489462
38119823,1347.027026776443,8.466822429906541,214,214,159.09475342466962
38112759,402.1119552922412,2.52995283018868,214,212,158.94049505351938
38104336,317.47850560005907,2.007766990291262,214,206,158.12517445264064
38104171,450.37986412438755,2.860747663551402,214,214,157.43432035710376
38104953,646.1454726672597,4.104245283018871,214,212,157.4334446678071
38115578,2723.40924936953,17.30787735849057,214,212,157.3508520404168
38114452,1810.269375370865,11.578971962616823,214,214,156.34111397932324
38114032,893.7613415109034,5.742216981132075,214,212,155.64743450964104
38100595,942.0126488095232,6.056862745098039,214,204,155.5281485570919
38105241,761.1478684542353,4.9267676767676765,214,198,154.4923402910698
38113584,1569.1733306445626,10.21816037735849,214,212,153.56710725754058
38123149,1297.8092572504067,8.456161137440759,214,211,153.4749913295983
38113100,1570.8849275886378,10.293838862559241,214,211,152.60438292873047
38113241,329.30986801846905,2.167261904761905,214,168,151.9474260563109
38104656,1558.212505562971,10.285714285714286,214,210,151.49288248528885
38108862,120.3358853471295,0.7965714285714286,214,175,151.0672879178455
38113876,1255.5729444815304,8.349502487562189,214,201,150.3769771135335
38102547,1283.5114652870504,8.604672897196265,214,214,149.16446919269507
38113443,936.5445895453196,6.280373831775701,214,214,149.12242720438869
38113237,1359.209524736688,9.146135265700483,214,207,148.61025834966034
38102782,2618.706144303515,17.636915887850492,214,214,148.47868873193744
38127437,1627.6974948078923,10.962962962962964,214,81,148.47240662099017
38105293,290.29811971517626,1.9593301435406698,214,209,148.16192190591414
38118922,582.3916298119717,3.9337016574585637,214,181,148.0518047696164
38113872,2240.7391104806425,15.168095238095239,214,210,147.72712560855646
38113250,1742.9653542686551,11.839252336448597,214,214,147.21920816762403
38112131,691.8469093049995,4.701923076923077,214,182,147.14126496466247
38104727,739.4472356660739,5.0320855614973405,214,187,146.94647510048398
38107918,329.5621940364931,2.2535211267605635,214,213,146.24322360369382
38118769,111.92682952269693,0.7653846153846153,214,195,146.23605867287037
38102220,561.1942868268803,3.8469953051643175,214,213,145.8785993509056
38100265,405.01120382732523,2.796153846153846,214,195,144.8458225517257
38106044,140.4737872719181,0.9702830188679245,214,212,144.7760957785447
38112754,229.38547021028037,1.585374149659864,214,147,144.6885394589625
38114054,750.5139157765908,5.213443396226415,214,212,143.9574305764644
38117043,1335.873071502744,9.2925,214,200,143.75819978506797
38105567,1035.2732161400388,7.217391304347822,214,207,143.44146970615003
38111508,454.24429795282595,3.1690140845070425,214,213,143.33931179844728
38113499,1268.6453280299654,8.872037914691942,214,211,142.99367746491598
38127388,145.5750723186472,1.0188679245283019,214,106,142.87923764607964
