site_id,date,forecast_m3
38113590,2025-12-23,6442.349206349221
38110990,2025-12-14,6441.921428571426
38101499,2025-12-25,6439.750000000005
38109910,2025-10-13,6438.97508503401
38117721,2025-11-27,6437.793650793645
38110990,2025-12-13,6421.199999999997
38101499,2025-12-24,6416.64682539683
38113244,2025-12-08,6415.416666666661
38113590,2025-12-22,6410.065476190491
38117721,2025-11-26,6400.71428571428
38110990,2025-12-12,6391.18214285714
38101499,2025-12-23,6389.776984126988
38113590,2025-12-21,6381.628968253983
38109910,2025-10-12,6381.057482993193
38113244,2025-12-07,6380.249999999994
38117721,2025-11-25,6368.079365079359
38101499,2025-12-22,6362.762698412703
38113590,2025-12-20,6353.387896825411
38110990,2025-12-11,6349.664285714283
38113244,2025-12-06,6344.249999999994
38109910,2025-10-11,6324.964285714282
38117721,2025-11-24,6324.333333333328
38101499,2025-12-21,6322.392857142861
38113590,2025-12-19,6320.784722222236
38113244,2025-12-05,6310.472222222216
38110990,2025-12-10,6307.458928571426
38117721,2025-11-23,6302.809523809518
38113590,2025-12-18,6286.931547619061
38101499,2025-12-20,6285.43928571429
38113244,2025-12-04,6278.722222222216
38117721,2025-11-22,6275.595238095233
38110990,2025-12-09,6271.81607142857
38109910,2025-10-10,6258.256802721085
