site_id,date,forecast_m3
38109910,2025-12-31,10151.256717687067
38109910,2025-12-30,10126.071258503394
38109910,2025-12-29,10100.796513605435
38109910,2025-12-28,10042.87891156462
38109910,2025-12-27,9986.785714285708
38109910,2025-12-26,9920.078231292511
38109910,2025-12-25,9870.942176870742
38109910,2025-12-24,9818.36386054421
38109910,2025-12-23,9793.178401360537
38109910,2025-12-22,9767.903656462579
38109910,2025-12-21,9709.986054421763
38109910,2025-12-20,9653.892857142851
38109910,2025-12-19,9587.185374149654
38109910,2025-12-18,9538.049319727885
38109910,2025-12-17,9485.471003401353
38109910,2025-12-16,9460.28554421768
38109910,2025-12-15,9435.010799319722
38109910,2025-12-14,9377.093197278906
38109910,2025-12-13,9320.999999999995
38109910,2025-12-12,9254.292517006797
38109910,2025-12-11,9205.156462585028
38109910,2025-12-10,9152.578146258496
38109910,2025-12-09,9127.392687074824
38109910,2025-12-08,9102.117942176865
38109910,2025-12-07,9044.200340136049
38109910,2025-12-06,8988.107142857138
38109910,2025-12-05,8921.39965986394
38109910,2025-12-04,8872.263605442171
38109910,2025-12-03,8819.68528911564
38109910,2025-12-02,8794.499829931967
38109910,2025-12-01,8769.225085034008
38109910,2025-11-30,8711.307482993192
38109910,2025-11-29,8655.21428571428
38109910,2025-11-28,8588.506802721084
38109910,2025-11-27,8539.370748299314
38109910,2025-11-26,8486.792431972783
38109910,2025-11-25,8461.60697278911
38109910,2025-11-24,8436.332227891151
38109910,2025-11-23,8378.414625850335
38109910,2025-11-22,8322.321428571424
38109910,2025-11-21,8255.613945578227
38109910,2025-11-20,8206.477891156457
38109910,2025-11-19,8153.899574829927
38109910,2025-11-18,8128.714115646253
38109910,2025-11-17,8103.439370748294
38109910,2025-11-16,8045.521768707477
38109910,2025-11-15,7989.428571428566
38109910,2025-11-14,7922.721088435369
38109910,2025-11-13,7873.5850340136
38109910,2025-11-12,7821.00671768707
38109910,2025-11-11,7795.821258503396
38109910,2025-11-10,7770.546513605437
38109910,2025-11-09,7712.6289115646205
38109910,2025-11-08,7656.535714285709
38117721,2025-12-31,7655.833333333321
38117721,2025-12-30,7623.198412698401
38109910,2025-11-07,7589.828231292512
38117721,2025-12-29,7579.452380952369
38117721,2025-12-28,7557.92857142856
38109910,2025-11-06,7540.692176870743
38117721,2025-12-27,7530.714285714274
38109910,2025-11-05,7488.113860544213
38117721,2025-12-26,7481.63492063491
38109910,2025-11-04,7462.928401360539
38117721,2025-12-25,7441.888888888878
38109910,2025-11-03,7437.65365646258
38117721,2025-12-24,7404.809523809513
38109910,2025-11-02,7379.736054421764
38117721,2025-12-23,7372.174603174592
38117721,2025-12-22,7328.428571428561
38109910,2025-11-01,7323.642857142852
38117721,2025-12-21,7306.9047619047515
38117721,2025-12-20,7279.690476190466
38109910,2025-10-31,7256.935374149655
38117721,2025-12-19,7230.611111111101
38109910,2025-10-30,7207.7993197278865
38117721,2025-12-18,7190.8650793650695
38113244,2025-12-31,7183.111111111103
38109910,2025-10-29,7155.221003401356
38117721,2025-12-17,7153.785714285705
38113244,2025-12-30,7153.166666666659
38109910,2025-10-28,7130.035544217682
38117721,2025-12-16,7121.150793650784
38113244,2025-12-29,7120.333333333326
38109910,2025-10-27,7104.760799319723
38113244,2025-12-28,7085.166666666659
38117721,2025-12-15,7077.404761904752
38117721,2025-12-14,7055.880952380943
38113244,2025-12-27,7049.166666666659
38109910,2025-10-26,7046.843197278907
38117721,2025-12-13,7028.666666666658
38113244,2025-12-26,7015.388888888881
38110990,2025-12-31,6995.444642857137
38109910,2025-10-25,6990.749999999995
38113244,2025-12-25,6983.638888888881
38117721,2025-12-12,6979.587301587293
38110990,2025-12-30,6959.80178571428
38113244,2025-12-24,6948.138888888881
38117721,2025-12-11,6939.841269841261
38110990,2025-12-29,6931.7214285714235
38109910,2025-10-24,6924.042517006798
38113244,2025-12-23,6918.194444444437
38117721,2025-12-10,6902.761904761896
38110990,2025-12-28,6900.578571428567
38113244,2025-12-22,6885.361111111104
38110990,2025-12-27,6879.857142857138
38109910,2025-10-23,6874.90646258503
38117721,2025-12-09,6870.126984126976
38113244,2025-12-21,6850.194444444437
38110990,2025-12-26,6849.839285714281
38117721,2025-12-08,6826.380952380944
38109910,2025-10-22,6822.328146258499
38113244,2025-12-20,6814.194444444437
38110990,2025-12-25,6808.321428571424
38117721,2025-12-07,6804.857142857135
38109910,2025-10-21,6797.1426870748255
38113244,2025-12-19,6780.41666666666
38117721,2025-12-06,6777.64285714285
38109910,2025-10-20,6771.867942176867
38110990,2025-12-24,6766.116071428567
38113244,2025-12-18,6748.66666666666
38110990,2025-12-23,6730.47321428571
38117721,2025-12-05,6728.563492063485
38109910,2025-10-19,6713.95034013605
38113244,2025-12-17,6713.16666666666
38110990,2025-12-22,6702.392857142853
38113590,2025-12-31,6692.368055555572
38117721,2025-12-04,6688.817460317453
38113244,2025-12-16,6683.222222222215
38110990,2025-12-21,6671.249999999996
38113590,2025-12-30,6661.431547619064
38109910,2025-10-18,6657.857142857139
38117721,2025-12-03,6651.738095238088
38110990,2025-12-20,6650.528571428567
38113244,2025-12-15,6650.388888888882
38101499,2025-12-31,6633.3861111111155
38113590,2025-12-29,6629.1478174603335
38110990,2025-12-19,6620.5107142857105
38117721,2025-12-02,6619.103174603168
38113244,2025-12-14,6615.222222222215
38101499,2025-12-30,6606.516269841274
38113590,2025-12-28,6600.711309523826
38109910,2025-10-17,6591.149659863941
38101499,2025-12-29,6579.501984126989
38113244,2025-12-13,6579.222222222215
38110990,2025-12-18,6578.992857142854
